DAIHATSU,HIJET,"S80V(ATRAI LX.ATRAI EX)",86/05~90/04,S1111,,"48510-87540 48520-87537",,,48530-87520
DAIHATSU,HIJET,"S80V(STD,SDX,G,GX,HCT) Excl.Low Floor Van",86/05~90/04,S1111,,"48510-87540 48520-87537",1199,,"48530-87505 48530-87516"
DAIHATSU,HIJET,"S80V(STD,SDX,G,GX,HCT) Low Floor Van",86/05~90/04,S1111,,"48510-87540 48520-87537",,,"48530-87521 48531-87518"
DAIHATSU,HIJET,"S80P,S80C",87/02~90/04,,,"48510-87539 48520-87536",1199,,"48530-87505 48530-87516"
DAIHATSU,XENIA,,03~,,,"48510-BZ070 48520-BZ070",,E2999,48531-BZ090
DAIHATSU,CHARMANT,"A10V,20V(Van)",74/11~79/08,S1010,,"48510-12021 48510-12022 48510-12032",2193,,48531-19115
DAIHATSU,CHARMANT,"A10,A20,A30,A40(Excl.Van)",74~79/07,S1010,,"48510-12021 48510-12022 48510-12032 48510-87103",2207,,"48531-19108 48531-87180"
DAIHATSU,CHARMANT,"A40(Excl.Sporty Custo,Van) A30(Excl.Van)",79/07~81/09,S1010,,"48510-12022 48510-12032",2207,,48531-87181
DAIHATSU,CHARMANT,"A40Sporty Custom(Excl.Van)",79/07~81/09,S1010,,48510-87103,2207,,48531-87180
DAIHATSU,CHARMANT,"A30V,40V(VAN)",79/08~81/09,S1010,,48510-12022,,,48531-87182
DAIHATSU,CHARMANT,"A35,A55",81/10~83/08,S1065,Z1065,"48510-12200 48520-12080",,,48531-87183
DAIHATSU,CHARMANT,"A35,45,60",83/08~88,S3014,,"48510-12280 48520-12150",,,48531-87183
DAIHATSU,"DELTA 750","KD10,11",71~79/10,2092,,48500-29025,2186,E2186,"48531-29165 48531-29166"
DAIHATSU,"DELTA 750","KD20(Double Tire)",79/10~82/09,2612,,48500-29245,2254,EL2254,48531-29655
DAIHATSU,"DELTA 750","KD20(Single Tire)",79/10~82/09,2612,,48500-29245,2048,E2048,48531-29645
DAIHATSU,LEEZA,"L100V(Y,Z),L100S(TS)",86/11~87/06,,,"48510-87243 48510-87244 48510-87261 48510-87262 48520-87243 48520-87244 48520-87261 48520-87262",1165,E1165,"48530-87226 48530-87227"
DAIHATSU,LEEZA,"L100V(X),L100S(TD)",86/11~87/08,,,"48510-87235 48510-87236 48510-87253 48510-87254 47520-87235 47520-87236 47520-87253 47520-87254",1165,E1165,"48530-87226 48530-87227"
DAIHATSU,LEEZA,"L100V(X),L100S(TD)",87/08~,,,"48510-87268 48510-87269 48520-87268 48520-87269",1165,E1165,"48530-87226 48530-87227"
DAIHATSU,YRV,"M200(1.0,2WD M201(1.3,2WD)",00/08~,,,,,E1217,"48531-97416 48531-97414 48531-97420 48531-97419"
DAIHATSU,CONSORTE,"EP30,EP31,EP50",72~,S1005,Z1005,"48510-10012 48510-10032 48520-10012 48520-10032",2260,,"48531-19077 48531-19196"
DAIHATSU,CONSORTE,"EP45,EP47,EP51",73~,S1006,,"48510-10040 48510-10050",2207,,48531-19108
DAIHATSU,"DELTA WIDE","TB11G(Wagon),TB15G(Wagon)",76/10~81/01,2470,,48500-29185,2048,E2048,48531-29335
DAIHATSU,"DELTA WIDE","KB10V,11V,12V,TB10V,11V(VAN)",76/10~82/10,2470,,48500-29185,2048,E2048,48531-29325
DAIHATSU,"DELTA WIDE",TB15G(Wagon),81/01~82/10,2470,,48500-29265,2048,E2048,48531-29875
DAIHATSU,"DELTA WIDE","YB20G,21G,CR21G(Wagon)",82/11~84/05,,E2713,48500-29275,,E2714,48531-80016
DAIHATSU,"DELTA WIDE","YB20G,21G,CR21G(Wagon)",84/05~84/08,,,48500-29276,4,"4 E2714",48531-80016
DAIHATSU,"DELTA WIDE","YB20G,21G,CR21G(Wagon)",84/08~,,,48500-29276,,E2827,48531-80052
DAIHATSU,"SIRION / STORIA","M100(1.0,2WD) No.~M100-538946~ M101(1.3,2WD)",00~,,,,,E1217,"48531-97235 48531-97410 48531-97403 48531-97409"
DAIHATSU,"SIRION / STORIA","M100(1.0,2WD) No.~M100-538945",98/01~00,,,,,E1217,"48531-97227 48531-97238 48531-97231 48531-97236"
DAIHATSU,"SIRION / STORIA","M100(1.0,2WD) �.~M100-538945",98/01~00,,,,,,"48531-97201 48531-97205 48531-97226 48531-97202 48531-97206"
DAIHATSU,CUORE,"L70V(C,S)",85/08~86/04,,,,1165,E1165,48530-87226
DAIHATSU,CUORE,"L70S(TA,TC,TCX,CX,CA,CG)",85/08~87/08,,,"48510-87235 48510-87236 48510-87254 48510-87255 48520-87235 48520-87236 48520-87254 48520-87255",1165,E1165,48530-87226
DAIHATSU,CUORE,"L70V(A,B,FB)",85/08~87/08,,,"48510-87235 48510-87236 48510-87253 48510-87254 48520-87235 48520-87236 48520-87253 48520-87254",1165,E1165,48530-87226
DAIHATSU,CUORE,L80,85/08~90/07,,,,1165,E1165,"48530-87224 48530-87226 48530-87229 48530-87225 48530-87228 48530-87230"
DAIHATSU,CUORE,L70S(GRAN),86/04~87/08,,,"48510-87241 48510-87242 48510-87255 48510-87256 48520-87241 48520-87242 48520-87255 48520-87256",1165,E1165,48530-87226
DAIHATSU,CUORE,"L70V(C,S)",86/04~87/08,,,"48510-87241 48510-87242 48510-87255 48510-87256 48520-87241 48520-87242 48520-87255 48520-87256",1165,E1165,48530-87226
DAIHATSU,CUORE,L70S(GRAN),87/08~,,,"48510-87266 48510-87267 48520-87266 48520-87267",1165,E1165,48530-87226
DAIHATSU,CUORE,"L70S(TA,TC,TCX,CX,CA,CG)",87/08~,,,"48510-87268 48510-87269 48520-87268 48520-87269",1165,E1165,48530-87226
